GEOID,median_household_income,rent_burden_35_plus_share,renter_occupied_units,total_housing_units,unemployment_rate_proxy,median_gross_rent,poverty.rate,depression_among_adults,fair_poor_health_status,frequent_mental_distress,high_eviction_risk
01051030902,66635,0.2639405204460966,538,1758,0.0515267175572519,1045,12.77,24.3,26.2,19.0,0
01051031100,75667,0.0472440944881889,381,1803,0.1068103870651641,1221,5.47,22.6,19.3,16.2,1
01051031200,39167,0.2,110,701,0.0785413744740533,992,20.63,22.8,32.1,19.6,0
01051031300,71302,0.1048780487804878,820,2036,0.0413223140495867,1189,16.31,22.2,19.8,17.2,0
01053969900,48656,0.1188959660297239,471,2052,0.0353874313605857,639,16.05,26.0,32.3,20.1,0
01053970100,59239,0.3977591036414565,357,2077,0.0336562978072412,654,10.38,22.1,22.8,15.7,0
01053970200,43750,0.1420454545454545,176,750,0.0851063829787234,725,37.21,19.4,27.0,17.3,0
01053970300,41048,0.095360824742268,388,1820,0.045611610228058,691,16.63,25.6,26.9,18.7,0
01053970400,57683,0.0196078431372549,408,1441,0.1271956390066626,582,14.57,22.7,34.2,20.5,0
01053970500,29952,0.0747663551401869,642,2273,0.0570703868103994,670,24.2,24.3,31.7,19.8,1
01053970600,28264,0.2376237623762376,808,1948,0.0849420849420849,585,37.33,23.3,44.6,22.7,0
01053970700,37518,0.2033096926713948,423,1712,0.0887258172114743,711,13.53,24.0,28.9,19.0,1
01055000200,32205,0.222634508348794,539,1336,0.0677165354330708,732,25.13,24.6,35.9,19.9,0
01055000300,27837,0.3492307692307692,650,1291,0.144994246260069,618,50.37,23.2,46.5,22.7,1
01055000400,62885,0.193103448275862,145,1688,0.1053604436229205,1119,5.69,25.4,26.8,17.4,1
01055000500,39000,0.1095890410958904,146,897,0.078909612625538,922,18.48,27.2,33.5,21.3,1
01055000600,41471,0.2068965517241379,232,904,0.2094298245614035,827,28.54,27.8,40.3,22.5,1
01055000700,14909,0.2338983050847457,295,548,0.0345911949685534,512,42.91,29.8,45.8,25.9,1
01055000800,30163,0.1267605633802817,284,721,0.0461165048543689,774,33.45,21.7,40.3,20.4,0
01055000900,37624,0.1947115384615384,416,1297,0.0658472344161545,750,37.43,27.6,41.9,22.7,1
01055001000,31821,0.1207729468599033,207,609,0.1967213114754098,595,29.45,25.1,42.4,22.8,1
01055001100,73250,0.2479564032697547,367,2378,0.0943738656987295,749,6.92,22.7,19.5,14.3,0
01055001200,36935,0.2179878048780487,656,1528,0.0602510460251046,848,11.59,23.5,27.4,18.3,1
01055001300,-666666666,0.4304461942257218,762,1286,0.0299553855959209,781,20.81,24.7,33.0,21.3,1
01055001600,40179,0.0817307692307692,416,1510,0.0814606741573033,794,17.63,21.1,28.2,17.9,1
01055001700,29730,0.0577427821522309,381,857,0.0923482849604221,745,19.07,24.5,37.0,19.9,0
01055010100,40061,0.1657303370786516,356,1161,0.0521327014218009,564,23.48,23.5,25.3,17.0,0
01055010300,43698,0.3518518518518518,54,1373,0.0520833333333333,742,3.09,26.4,28.6,18.8,0
01055010401,51463,0.2732300884955752,904,1678,0.1296844181459566,953,24.31,25.6,28.6,20.0,0
01055010402,82277,0.1423357664233576,274,2422,0.0345659163987138,1036,12.58,23.7,21.6,15.7,0
01055010601,83125,0.0,220,2654,0.0526623756582797,934,4.89,24.6,19.1,16.1,0
01055010602,47305,0.0567375886524822,141,1826,0.0794223826714801,846,10.89,26.1,23.0,18.0,0
01055010700,46389,0.2884615384615384,156,1599,0.0134078212290502,826,10.73,24.7,24.8,17.2,0
01055010800,42788,0.3232323232323232,99,1228,0.02909796314258,673,16.15,26.9,28.9,19.1,0
01055010900,70833,0.3,60,770,0.1101783840503672,838,11.28,25.7,25.0,17.9,1
01055011001,59500,0.0722543352601156,346,1939,0.0383356708742403,817,11.09,25.7,22.7,17.7,0
01055011002,50587,0.1855345911949685,318,2150,0.0647351742870077,726,11.65,26.1,24.7,18.4,0
01055011100,45369,0.1046228710462287,411,2490,0.0160984848484848,653,23.52,27.4,30.2,19.9,0
01055011200,36161,0.3251908396946565,655,1124,0.0768672951414068,822,51.39,23.8,37.6,21.6,1
01057020000,52697,0.2222222222222222,63,648,0.0861313868613138,-666666666,11.65,25.7,23.0,17.7,0
01057020100,50472,0.1568627450980392,102,1497,0.0664911125740618,585,9.7,26.0,24.6,18.0,0
01057020200,42887,0.1173285198555956,554,2198,0.1033229491173416,763,7.15,24.2,26.9,17.1,0
01057020300,33000,0.3130287648054145,591,2100,0.1594105827193569,562,22.55,25.7,31.6,19.2,0
01057020400,53137,0.1666666666666666,174,1373,0.0557620817843866,592,17.16,27.1,24.8,19.0,0
01059972900,49673,0.0141643059490084,353,1730,0.0575815738963531,702,11.09,26.3,32.2,20.0,0
01059973000,51198,0.2413162705667276,547,1970,0.0328657314629258,813,27.79,25.0,34.2,19.9,0
01059973100,77109,0.0,62,1302,0.0,-666666666,12.15,24.6,19.7,16.6,0
01059973200,46500,0.1490384615384615,416,1511,0.0305,644,23.67,24.5,31.2,19.4,0
